ID,Created,Name,Description,Playlist URL
0750048098a24f238f6f051d212afff0,2025-07-08T07:27:52Z,Cheer Up!,Songs that lift your mood,https://open.spotify.com/playlist/43w1SY9NSC7RZnUYPFClEb
c6443d6e34584f82b777d112a295d5c7,2025-07-08T07:42:14Z,Gym Motivation ,Songs that'll give you a lift for a lift,https://open.spotify.com/playlist/12m547lspiyJJ95Qyj3nw8
20a7634884da4a32ad888656abd6ebe3,2025-07-08T07:42:40Z,Crank It Up!,Songs that you have to listen to loudly,https://open.spotify.com/playlist/3KhhBcT2D2JaFNIyyhaBag
5a044cb1fdca4b9da299083ee369b0df,2025-07-08T07:42:49Z,Instrumentals,Songs with no vocals,https://open.spotify.com/playlist/2clhHTTNbe7B5aeZc4N2qt
c42dcedfc2c1446cbf4ce8a7d9480e55,2025-07-10T21:00:17Z,Frisson,"A song that'll give you goosebumps, literally. Headphones recommended.",https://open.spotify.com/playlist/2KZUt5sMu73ui6vtLYKlqn
a6219e9c7ffb43bcae67abae60884229,2025-07-08T07:42:54Z,Shorties,Songs that are less than 3 minutes long,https://open.spotify.com/playlist/1FDjwOEfgBzq2PlpLI8PDx
0f192ef034654aea98a2a324ab89cb44,2025-07-08T09:29:32Z,Sentimental ,Songs that mean a lot to you,https://open.spotify.com/playlist/2RQm2qpYj6ocxjXfEibUv0
13cc9f00fb6248f78cb696c7a0a64425,2025-07-11T13:59:06Z,Best Vocals ,,https://open.spotify.com/playlist/1ifsWEmJaKh0BFfGaBHcBu
f4aa83efb9ea4f0db463f668eb161a99,2025-07-17T16:06:17Z,Covers,Songs previously recorded by another artist,https://open.spotify.com/playlist/2r41rC3F8cX5NBWODBF7tm
4f530b68af954416b03a27f861eb602a,2025-07-23T19:57:58Z,Summer bangers,Ones to bask in the sunlight with,https://open.spotify.com/playlist/4CAjAsHAxNsvfqTa6F37wg
f3953a02199347aca11e6e730c8725cc,2025-07-17T16:06:55Z,80s ,Best of the 80s,https://open.spotify.com/playlist/3NhNaJYoKqWzdK2LXdUGCt
da278874b7a14fb581a67b5c04d22f5d,2025-07-17T16:26:52Z,Melancholy ,Add depression on the depressed ,https://open.spotify.com/playlist/6rhgI75s6779XHm0AuwUbT
9b619ced1d2d42a281ba848cfc2aca86,2025-07-17T16:32:53Z,More cheese than pizza,The cheesiest hits ,https://open.spotify.com/playlist/2p2f2PL0gpGagKkyTgOEe5
1602342e6a1d4084ad185a998ab78b4e,2025-07-17T16:35:19Z,Problematic bangers,ðŸ˜±ðŸ˜¬ðŸ˜±ðŸ˜¬,https://open.spotify.com/playlist/3hi5cMjCdSFZ5aiOL27EmS
fdb22779e99c40daadc5ba50a3ed7477,2025-07-17T16:35:59Z,Break Up Anthems,Heartbreak bangers,https://open.spotify.com/playlist/23HBEL4kd0V2wQELc239Z7
025c6d27b1794fb6b32d1ff960abc309,2025-07-17T16:36:21Z,Self care songs,Definitely not about wanking. Seriously. Sexy songs are coming up. Chill tf out.,https://open.spotify.com/playlist/5Zbd4UuWgabxshLLqRaTmc
f8defb124ee44e738d8f968d0358f577,2025-07-17T16:39:36Z,Cum again? ,Songs that get you there ðŸ˜˜ðŸ˜ˆ,https://open.spotify.com/playlist/0cFtGT5axsTWeCeHhhDndy
7a2f9b5b5b5a4435831f2cf73a1d35aa,2025-07-17T16:42:41Z,First dance cringe ,Shit songs people choose for their first dance,https://open.spotify.com/playlist/3pP85ikbFqCUwGCHpCAbMw
